user_id	score	date	review	is_month	is_repurch
hanj*****	2	21.11.24.	옷은 이쁜데 팔 통이 너무 넓고 목부분이 밑으로 내려와서  두 팔이 빠져요	False	False
jomi****	5	21.11.12.	입히니 너무 귀엽네요  그린만 남아있어서 그린 했는데 좋아요	False	False
nama*****	4	21.02.22.	처음 주문했는데 아주 맘에 듭니다	False	False
ehrl******	5	20.12.16.	예쁘게 잘 맞네요 귀여워요	True	False
ehrl******	5	20.10.27.	아주 좋아요 배 부분엔 고무줄도 있어서 펄럭거리지 않네요	False	False
wldn******	5	20.03.18.	스판성이 좋아요  예전에 샀을 땐 더 얇고 스판 재질이었는데 이번엔 면 티 느낌으로 도톰하네요 개인적으론 예전 재질이 더 좋지만 봄가을에 입히기엔 좋네요	False	False
wldn******	5	20.03.18.	더 도톰해져서 털이 길거나 여름엔 더울 거 같아요 예전 재질은 더 안 만드시는 건가요	False	False
bany*****	5	20.02.08.	빠른 배송 감사합니다 	False	False
jmhi***	5	19.11.05.	바느질도 꼼꼼하고 입혀놓으면 따뜻할 것 같아요	False	False
jmhi***	5	19.11.05.	추워지면 패딩조끼 안에 입히면 따뜻하고 예쁠 것 같아요	False	False
skat***	5	19.11.12.	너무 이뻐요 쭉쭉 늘어나 신축성 좋고 이뻐요	False	False
come****	5	18.08.22.	드디어 요 티는 깔 별러 다 샀네요 진짜 자기가 차애 하는 티입니다노탸쟈자터자텨어네야	False	False
come****	5	18.08.22.	이뻐요 	False	False
dhto******	5	18.06.13.	바뀐 건가 년 전인가 이 옷을 주문해서 매일 입힐 정도로 엄청 잘 입혔어요 막 입혀도 좋았고 막 세탁기에 넣어 돌려도 좋았는데 최근에 옆구리가 펑크 나는 바람에 다시 주문했는데 옷이 많이 바뀐 느낌이네요(오른쪽) 더 좋아진 것 같기도 하규 재질도 더 두툼해진 것 같아서 좋긴 한데 제품 상세페이지에 바뀌었단 말도 안 쓰여있어서 받았을 때 잘못 왔는지 알고 당황스러웠어요  암튼 이번 거도 잘 입히겠지요 굳이에요	False	False
come****	5	18.08.22.	이것도 말해 뭐해요 깔 별러 완성위자아덷제	False	False
dhto******	5	18.06.13.	좋아요 킬로 말티 사이즈 샀어요 잘 맞아요 사이즈 샀으면 많이 컸을 것 같아요 옷도 도톰해져서 좋은 것 같아요	False	False
dhto******	5	18.06.13.	좋아요 근데 등 부분이 많이 떠요	False	False
dhto******	5	18.06.13.	좋아요 귀여워요	False	False
jb****	5	18.02.28.	천도 부드럽고 생각보다 색감이 좋아서 만족합니다	False	False
wngm*******	5	18.02.09.	 주문한 색이 품절이래서 어쩔 수 없이 그린 색 했는데 괜찮아요 피숑 개월 킬로 엑스라지  딱 맞음	False	False
kiro****	5	18.01.19.	좋아요 쫀쫀하고  좋아요 하나만 입어도 귀엽고 겨울 점퍼 안에 레이어드로 입히면 보온도 되고 스타일도 좋아져서 만족합니다	False	False
kiro****	4	18.01.19.	좋아요 쫀쫀하고  좋아요 하나만 입어도 귀엽고 겨울 점퍼 안에 레이어드로 입히면 보온도 되고 스타일도 좋아져서 만족합니다	False	False
hh****	5	18.01.16.	이것만 맨 낭 입혀요 색색깔 별로 다 살 예정입니다 잘 늘어나서 아기가 답답해하지 않고 세탁기 돌려도 안 망가짐	False	False
kiro****	5	18.01.19.	쫀쫀하고 좋아요	False	False
wngm*******	5	18.02.09.	좋아 유이 좋아	False	False
